comentario,ciudad,id,nombre,edad,género,categoría_del_problema,nivel_de_urgencia,fecha_del_reporte,acceso_a_internet,atención_previa_del_gobierno,zona_rural
hay problemas con la recolección de basura.,Bucaramanga,46,Jorge,59.0,Otro,Educación,No urgente,2023-07-28,1,0,0
queremos más presencia policial.,Bogotá,47,Camilo,19.0,M,Medio Ambiente,No urgente,2023-08-27,0,0,0
faltan médicos en el centro de salud.,Manizales,48,Pedro,48.0,Otro,Salud,No urgente,2024-07-13,1,1,1
las basuras no se recogen a tiempo.,Cúcuta,49,Laura,32.0,M,Salud,Urgente,2024-04-26,0,0,0
necesitamos más acceso a internet en la zona.,Medellín,50,Juan,48.0,Otro,Seguridad,No urgente,2024-08-02,1,1,1
las calles están muy oscuras y peligrosas.,Bogotá,51,Ana,66.0,M,Salud,No urgente,2023-02-22,1,1,1
las calles están muy oscuras y peligrosas.,Cartagena,52,Jorge,24.0,Otro,Seguridad,No urgente,2023-02-09,0,1,1
la contaminación del río está aumentando.,Cartagena,53,Pedro,53.0,M,Seguridad,Urgente,2024-10-07,1,1,0
no tenemos centros culturales ni bibliotecas.,Cartagena,54,María,59.0,Otro,Educación,No urgente,2023-04-22,0,1,0
necesitamos más acceso a internet en la zona.,Bogotá,55,Sofía,42.0,F,Salud,Urgente,2024-08-12,1,0,0
queremos más presencia policial.,Cúcuta,56,Camilo,58.0,M,Medio Ambiente,Urgente,2024-06-12,1,1,0
necesitamos más acceso a internet en la zona.,Pereira,57,Jorge,53.0,F,Salud,Urgente,2023-12-03,1,1,0
no hay suficientes escuelas públicas.,Bucaramanga,58,Valentina,31.0,M,Seguridad,Urgente,2023-10-24,1,1,0
faltan médicos en el centro de salud.,Bogotá,59,Valentina,24.0,F,Seguridad,No urgente,2024-11-13,1,1,0
queremos más presencia policial.,Cúcuta,60,Sofía,31.0,Otro,Medio Ambiente,Urgente,2023-04-22,1,1,1
necesitamos más acceso a internet en la zona.,Medellín,61,Pedro,42.0,Otro,Salud,No urgente,2023-10-24,0,1,0
las basuras no se recogen a tiempo.,Cartagena,62,Valentina,23.0,M,Salud,No urgente,2024-08-28,1,0,0
queremos más presencia policial.,Pereira,63,Laura,23.0,,Seguridad,Urgente,2023-05-23,1,0,1
hay problemas con la recolección de basura.,Santa Marta,64,Jorge,70.0,M,Medio Ambiente,No urgente,2023-04-22,0,1,0
queremos más presencia policial.,Bogotá,65,Ana,30.0,M,Seguridad,No urgente,2024-11-15,0,0,1
no tenemos centros culturales ni bibliotecas.,Manizales,66,Sofía,38.0,Otro,Seguridad,No urgente,2023-06-19,1,1,0
necesitamos más acceso a internet en la zona.,Manizales,67,Sofía,69.0,M,Seguridad,No urgente,2024-04-03,0,0,1
no hay suficientes escuelas públicas.,Medellín,68,Valentina,,M,Educación,Urgente,2023-07-26,1,1,0
las basuras no se recogen a tiempo.,Cali,69,Camilo,27.0,F,Seguridad,Urgente,2023-01-03,0,0,1
hay problemas con la recolección de basura.,Manizales,70,María,66.0,M,Medio Ambiente,Urgente,2023-02-22,1,0,1
,Barranquilla,71,Jorge,22.0,Otro,Salud,Urgente,2024-02-15,1,1,0
necesitamos más acceso a internet en la zona.,Pereira,72,Sofía,19.0,F,Medio Ambiente,Urgente,2024-09-23,0,0,0
la contaminación del río está aumentando.,Cali,73,Sofía,32.0,Otro,Salud,Urgente,2024-10-07,0,0,1
necesitamos más acceso a internet en la zona.,Cartagena,74,Juan,38.0,F,Medio Ambiente,No urgente,2024-11-25,1,1,1
hay problemas con la recolección de basura.,Cartagena,75,Valentina,28.0,F,Educación,No urgente,2024-04-14,1,1,1
la contaminación del río está aumentando.,Cúcuta,76,Valentina,24.0,Otro,Seguridad,Urgente,2024-05-23,1,1,0
las basuras no se recogen a tiempo.,Bogotá,77,Valentina,22.0,,Medio Ambiente,No urgente,2023-01-25,0,1,1
no tenemos centros culturales ni bibliotecas.,Manizales,78,Sofía,,M,Seguridad,No urgente,2023-11-05,0,0,0
necesitamos más acceso a internet en la zona.,Cali,79,Laura,30.0,F,Educación,Urgente,2023-03-15,1,0,1
las calles están muy oscuras y peligrosas.,Santa Marta,80,Valentina,25.0,Otro,Seguridad,Urgente,2024-07-12,1,0,1
,Bogotá,81,Juan,21.0,M,Medio Ambiente,Urgente,2024-08-17,0,1,1
la contaminación del río está aumentando.,Cali,82,Juan,19.0,F,Seguridad,Urgente,2023-05-29,0,0,0
la contaminación del río está aumentando.,Manizales,83,Camilo,58.0,Otro,Medio Ambiente,Urgente,2023-10-09,1,0,1
la contaminación del río está aumentando.,Santa Marta,84,Laura,76.0,F,Salud,Urgente,2024-09-03,1,1,0
faltan médicos en el centro de salud.,Cali,85,Camilo,16.0,Otro,Salud,No urgente,2024-05-05,1,1,0
necesitamos más acceso a internet en la zona.,Bogotá,86,Juan,38.0,M,Educación,No urgente,2024-04-21,0,1,1
,Barranquilla,87,Sofía,75.0,M,Salud,No urgente,2023-07-28,0,1,1
la contaminación del río está aumentando.,Cúcuta,88,Pedro,58.0,Otro,Medio Ambiente,No urgente,2023-06-04,1,0,1
las basuras no se recogen a tiempo.,Cúcuta,89,Camilo,61.0,M,Seguridad,Urgente,2024-07-27,0,0,0
faltan médicos en el centro de salud.,Cali,90,Laura,60.0,F,Medio Ambiente,No urgente,2023-10-24,0,1,1
no hay suficientes escuelas públicas.,Manizales,91,Jorge,66.0,F,Seguridad,Urgente,2023-10-30,0,1,1
faltan médicos en el centro de salud.,Bogotá,92,Juan,,M,Seguridad,Urgente,2023-07-12,0,0,1
faltan médicos en el centro de salud.,Medellín,93,Sofía,25.0,M,Seguridad,No urgente,2024-02-25,0,1,0
queremos más presencia policial.,Medellín,94,Carlos,,F,Seguridad,No urgente,2024-11-09,1,1,1
la contaminación del río está aumentando.,Cali,95,Jorge,20.0,Otro,Educación,No urgente,2023-07-24,0,1,0
queremos más presencia policial.,Cartagena,96,Juan,31.0,M,Seguridad,Urgente,2024-07-10,1,0,0
falta agua potable en varias casas.,Medellín,97,Valentina,72.0,F,Medio Ambiente,Urgente,2023-08-25,1,0,0
hay problemas con la recolección de basura.,Manizales,98,Carlos,66.0,Otro,Medio Ambiente,Urgente,2023-01-23,0,1,0
faltan médicos en el centro de salud.,Medellín,99,Jorge,67.0,Otro,Salud,No urgente,2024-01-17,1,0,1
queremos más presencia policial.,Cartagena,100,Sofía,,F,Salud,Urgente,2024-08-17,0,0,1
faltan médicos en el centro de salud.,Cartagena,101,Valentina,36.0,Otro,Seguridad,Urgente,2024-09-25,0,0,0
no tenemos centros culturales ni bibliotecas.,Barranquilla,102,María,51.0,M,Educación,No urgente,2024-03-03,1,0,1
la contaminación del río está aumentando.,Manizales,103,Jorge,27.0,F,Medio Ambiente,No urgente,2024-05-23,0,1,0
las calles están muy oscuras y peligrosas.,Cúcuta,104,Jorge,44.0,Otro,Seguridad,No urgente,2023-02-23,1,0,0
la contaminación del río está aumentando.,Cúcuta,105,Sofía,50.0,F,Educación,No urgente,2024-03-16,1,0,0
faltan médicos en el centro de salud.,Medellín,106,Ana,19.0,F,Salud,Urgente,2023-09-07,1,1,1
la contaminación del río está aumentando.,Pereira,107,Carlos,,F,Medio Ambiente,No urgente,2024-03-17,1,0,1
faltan médicos en el centro de salud.,Medellín,108,Jorge,54.0,F,Educación,No urgente,2024-07-16,1,1,0
faltan médicos en el centro de salud.,Cúcuta,109,Valentina,44.0,,Educación,No urgente,2024-08-01,0,0,1
faltan médicos en el centro de salud.,Cúcuta,110,Juan,27.0,M,Salud,Urgente,2023-01-12,1,0,0
las basuras no se recogen a tiempo.,Pereira,111,Juan,74.0,Otro,Seguridad,Urgente,2023-12-03,1,0,0
hay problemas con la recolección de basura.,Pereira,112,Juan,65.0,Otro,Salud,Urgente,2023-04-08,1,0,1
,Barranquilla,113,Valentina,32.0,F,Educación,No urgente,2023-01-02,0,0,1
queremos más presencia policial.,Medellín,114,Carlos,19.0,Otro,Seguridad,Urgente,2023-04-05,0,1,1
hay problemas con la recolección de basura.,Bogotá,115,Camilo,25.0,Otro,Salud,Urgente,2024-04-01,1,1,1
no tenemos centros culturales ni bibliotecas.,Bogotá,116,Jorge,36.0,Otro,Seguridad,No urgente,2024-02-15,0,1,0
falta agua potable en varias casas.,Cali,117,Laura,55.0,F,Medio Ambiente,Urgente,2023-09-09,0,1,1
no tenemos centros culturales ni bibliotecas.,Cartagena,118,Jorge,62.0,F,Medio Ambiente,Urgente,2023-04-01,0,1,1
las basuras no se recogen a tiempo.,Bucaramanga,119,María,43.0,F,Educación,No urgente,2023-01-29,1,0,1
no tenemos centros culturales ni bibliotecas.,Santa Marta,120,Pedro,54.0,Otro,Educación,No urgente,2023-09-21,1,1,0
faltan médicos en el centro de salud.,Cali,121,Carlos,,F,Seguridad,Urgente,2024-03-10,1,0,0
faltan médicos en el centro de salud.,Cartagena,122,María,65.0,M,Medio Ambiente,No urgente,2023-07-18,0,0,1
las basuras no se recogen a tiempo.,Cartagena,123,Sofía,66.0,,Medio Ambiente,Urgente,2024-07-02,1,1,1
queremos más presencia policial.,Barranquilla,124,Ana,31.0,Otro,Seguridad,No urgente,2024-06-10,1,1,0
necesitamos más acceso a internet en la zona.,Medellín,125,Pedro,47.0,M,Medio Ambiente,No urgente,2024-09-09,1,0,0
hay problemas con la recolección de basura.,Pereira,126,Juan,61.0,Otro,Educación,No urgente,2023-06-04,1,0,0
la contaminación del río está aumentando.,Bucaramanga,127,Camilo,32.0,Otro,Seguridad,Urgente,2023-06-20,1,0,0
las basuras no se recogen a tiempo.,Pereira,128,Laura,46.0,M,Educación,Urgente,2024-04-22,0,1,1
necesitamos más acceso a internet en la zona.,Pereira,129,Valentina,66.0,Otro,Educación,No urgente,2023-08-09,1,0,1
,Bogotá,130,Valentina,17.0,M,Seguridad,Urgente,2024-05-02,0,0,0
las basuras no se recogen a tiempo.,Santa Marta,131,Juan,30.0,F,Medio Ambiente,No urgente,2024-07-15,1,0,0
las basuras no se recogen a tiempo.,Bucaramanga,132,Valentina,65.0,Otro,Salud,Urgente,2024-01-21,1,0,0
faltan médicos en el centro de salud.,Bucaramanga,133,Carlos,15.0,Otro,Seguridad,Urgente,2023-10-06,1,0,1
la contaminación del río está aumentando.,Pereira,134,Camilo,71.0,F,Medio Ambiente,Urgente,2023-12-24,0,0,0
las basuras no se recogen a tiempo.,Bogotá,135,Carlos,27.0,,Educación,Urgente,2023-03-09,1,0,0
no tenemos centros culturales ni bibliotecas.,Bogotá,136,Jorge,36.0,M,Medio Ambiente,Urgente,2024-01-08,0,1,0
la contaminación del río está aumentando.,Cartagena,137,Sofía,18.0,Otro,Salud,Urgente,2024-04-16,0,1,0
no tenemos centros culturales ni bibliotecas.,Cúcuta,138,Carlos,28.0,M,Salud,Urgente,2023-08-03,1,0,1
las basuras no se recogen a tiempo.,Medellín,139,Carlos,55.0,M,Salud,No urgente,2024-05-28,1,1,1
no tenemos centros culturales ni bibliotecas.,Pereira,140,Pedro,57.0,Otro,Medio Ambiente,Urgente,2023-11-05,1,0,1
no tenemos centros culturales ni bibliotecas.,Bucaramanga,141,Juan,73.0,Otro,Medio Ambiente,Urgente,2024-03-17,1,0,0
las basuras no se recogen a tiempo.,Cúcuta,142,Jorge,27.0,M,Educación,No urgente,2023-09-21,1,1,0
no hay suficientes escuelas públicas.,Manizales,143,Valentina,60.0,M,Educación,Urgente,2024-04-10,0,1,0
falta agua potable en varias casas.,Medellín,144,Laura,71.0,F,Seguridad,No urgente,2023-11-27,1,0,1
la contaminación del río está aumentando.,Pereira,145,Valentina,,Otro,Salud,Urgente,2024-08-11,0,1,0
queremos más presencia policial.,Santa Marta,146,Jorge,35.0,M,Medio Ambiente,No urgente,2024-02-04,0,0,0
no hay suficientes escuelas públicas.,Barranquilla,147,Valentina,43.0,F,Salud,No urgente,2024-07-25,1,1,1
la contaminación del río está aumentando.,Cartagena,148,Ana,16.0,Otro,Salud,No urgente,2024-06-20,1,1,1
falta agua potable en varias casas.,Cúcuta,149,Ana,51.0,F,Medio Ambiente,No urgente,2023-02-15,1,1,0
no tenemos centros culturales ni bibliotecas.,Cúcuta,150,María,55.0,F,Seguridad,Urgente,2023-12-02,1,1,0
la contaminación del río está aumentando.,Santa Marta,151,Pedro,60.0,M,Seguridad,Urgente,2023-06-12,0,1,1
falta agua potable en varias casas.,Manizales,152,Sofía,52.0,M,Salud,No urgente,2023-06-26,1,1,0
las calles están muy oscuras y peligrosas.,Bogotá,153,Laura,,M,Medio Ambiente,No urgente,2024-02-14,1,1,0
la contaminación del río está aumentando.,Barranquilla,154,María,79.0,M,Medio Ambiente,Urgente,2023-02-03,0,1,0
falta agua potable en varias casas.,Cúcuta,155,Sofía,40.0,M,Medio Ambiente,No urgente,2024-06-18,1,0,1
no tenemos centros culturales ni bibliotecas.,Cali,156,Ana,64.0,F,Seguridad,Urgente,2023-04-11,0,0,1
falta agua potable en varias casas.,Cartagena,157,Camilo,37.0,Otro,Educación,No urgente,2023-02-08,0,1,0
no hay suficientes escuelas públicas.,Bogotá,158,Juan,40.0,F,Medio Ambiente,Urgente,2023-12-08,0,1,0
falta agua potable en varias casas.,Santa Marta,159,Laura,47.0,F,Seguridad,No urgente,2024-11-09,0,0,1
no hay suficientes escuelas públicas.,Barranquilla,160,Carlos,18.0,F,Seguridad,Urgente,2023-04-19,0,0,1
la contaminación del río está aumentando.,Cali,161,Laura,49.0,Otro,Educación,No urgente,2023-07-09,0,0,0
,Manizales,162,Carlos,66.0,M,Seguridad,Urgente,2024-02-14,0,0,0
hay problemas con la recolección de basura.,Bucaramanga,163,Juan,79.0,F,Salud,No urgente,2023-09-14,1,0,0
las basuras no se recogen a tiempo.,Pereira,164,Juan,21.0,Otro,Salud,Urgente,2024-01-18,1,0,0
faltan médicos en el centro de salud.,Bogotá,165,Sofía,39.0,F,Seguridad,No urgente,2024-02-05,0,0,0
no tenemos centros culturales ni bibliotecas.,Manizales,166,Camilo,79.0,,Seguridad,Urgente,2023-01-24,1,0,0
las calles están muy oscuras y peligrosas.,Barranquilla,167,Jorge,46.0,,Medio Ambiente,Urgente,2023-06-03,0,0,1
las calles están muy oscuras y peligrosas.,Bogotá,168,Valentina,41.0,Otro,Seguridad,No urgente,2023-05-25,0,1,1
faltan médicos en el centro de salud.,Cali,169,María,25.0,Otro,Educación,No urgente,2023-12-08,0,1,0
las basuras no se recogen a tiempo.,Pereira,170,Ana,21.0,Otro,Salud,No urgente,2024-05-04,0,1,1
las basuras no se recogen a tiempo.,Bucaramanga,171,Carlos,18.0,F,Seguridad,Urgente,2023-05-11,0,0,1
no hay suficientes escuelas públicas.,Bogotá,172,Carlos,16.0,Otro,Seguridad,No urgente,2024-08-02,0,1,0
no tenemos centros culturales ni bibliotecas.,Barranquilla,173,Ana,78.0,Otro,Medio Ambiente,No urgente,2024-11-19,1,1,1
hay problemas con la recolección de basura.,Cúcuta,174,Jorge,70.0,F,Medio Ambiente,No urgente,2023-04-23,0,0,0
queremos más presencia policial.,Cúcuta,175,Laura,17.0,Otro,Educación,No urgente,2023-04-09,1,0,0
falta agua potable en varias casas.,Manizales,176,Ana,54.0,M,Salud,Urgente,2024-07-15,1,0,0
las basuras no se recogen a tiempo.,Santa Marta,177,Laura,,Otro,Seguridad,Urgente,2023-06-07,0,0,0
queremos más presencia policial.,Cali,178,Camilo,45.0,M,Salud,Urgente,2023-03-17,1,1,0
necesitamos más acceso a internet en la zona.,Bucaramanga,179,Carlos,72.0,F,Medio Ambiente,Urgente,2023-09-13,0,1,0
la contaminación del río está aumentando.,Bogotá,180,Carlos,58.0,F,Seguridad,No urgente,2023-10-03,0,1,1
,Santa Marta,181,Laura,30.0,F,Medio Ambiente,No urgente,2024-04-28,0,1,1
la contaminación del río está aumentando.,Bogotá,182,Carlos,42.0,Otro,Educación,Urgente,2024-09-29,1,0,1
la contaminación del río está aumentando.,Medellín,183,Valentina,78.0,F,Seguridad,No urgente,2024-02-12,0,0,1
las basuras no se recogen a tiempo.,Cali,184,Juan,39.0,F,Salud,Urgente,2024-03-05,1,1,0
las basuras no se recogen a tiempo.,Cartagena,185,Camilo,33.0,M,Educación,No urgente,2024-11-13,0,1,0
necesitamos más acceso a internet en la zona.,Cartagena,186,Juan,43.0,M,Educación,No urgente,2023-05-25,0,0,0
queremos más presencia policial.,Cartagena,187,Pedro,,Otro,Medio Ambiente,No urgente,2024-07-10,1,0,1
no tenemos centros culturales ni bibliotecas.,Santa Marta,188,Jorge,76.0,Otro,Seguridad,Urgente,2023-11-26,1,0,0
faltan médicos en el centro de salud.,Barranquilla,189,Jorge,74.0,F,Educación,No urgente,2024-11-06,1,0,1
necesitamos más acceso a internet en la zona.,Medellín,190,Sofía,80.0,F,Seguridad,Urgente,2024-07-27,0,1,0
hay problemas con la recolección de basura.,Cali,191,María,17.0,M,Medio Ambiente,No urgente,2024-03-08,0,0,1
faltan médicos en el centro de salud.,Cúcuta,192,Laura,15.0,M,Educación,No urgente,2024-05-31,1,0,0
necesitamos más acceso a internet en la zona.,Cartagena,193,Camilo,61.0,F,Medio Ambiente,Urgente,2023-05-18,0,1,0
falta agua potable en varias casas.,Cúcuta,194,Valentina,63.0,F,Educación,No urgente,2023-06-14,1,0,0
las calles están muy oscuras y peligrosas.,Barranquilla,195,Pedro,34.0,Otro,Medio Ambiente,No urgente,2023-05-29,0,0,1
hay problemas con la recolección de basura.,Manizales,196,Pedro,19.0,Otro,Educación,No urgente,2023-10-30,1,1,0
las basuras no se recogen a tiempo.,Cali,197,Valentina,52.0,F,Medio Ambiente,No urgente,2024-06-10,1,1,0
las basuras no se recogen a tiempo.,Pereira,198,María,40.0,F,Educación,Urgente,2023-11-24,0,1,1
no tenemos centros culturales ni bibliotecas.,Barranquilla,199,María,73.0,Otro,Medio Ambiente,No urgente,2023-08-03,0,0,1
la contaminación del río está aumentando.,Medellín,200,Carlos,,M,Educación,Urgente,2024-01-19,0,0,0
faltan médicos en el centro de salud.,Santa Marta,201,Ana,,F,Medio Ambiente,No urgente,2023-09-16,0,1,0
faltan médicos en el centro de salud.,Cartagena,202,Jorge,60.0,Otro,Salud,Urgente,2024-06-30,1,1,1
no hay suficientes escuelas públicas.,Cali,203,Ana,78.0,Otro,Seguridad,No urgente,2023-01-11,1,0,1
necesitamos más acceso a internet en la zona.,Pereira,204,Pedro,27.0,M,Medio Ambiente,No urgente,2024-08-20,1,0,1
no tenemos centros culturales ni bibliotecas.,Bucaramanga,205,Juan,77.0,M,Educación,No urgente,2024-05-11,1,1,0
,Bucaramanga,206,Pedro,27.0,F,Medio Ambiente,No urgente,2023-04-07,0,0,0
queremos más presencia policial.,Cali,207,Sofía,65.0,M,Educación,Urgente,2024-11-30,1,0,1
la contaminación del río está aumentando.,Santa Marta,208,Camilo,,F,Seguridad,No urgente,2023-06-19,0,1,1
necesitamos más acceso a internet en la zona.,Bogotá,209,Pedro,15.0,M,Medio Ambiente,Urgente,2023-11-06,1,0,0
,Cali,210,Pedro,39.0,F,Educación,No urgente,2024-04-12,0,0,1
las calles están muy oscuras y peligrosas.,Santa Marta,211,Ana,17.0,F,Seguridad,Urgente,2023-03-12,0,0,1
hay problemas con la recolección de basura.,Barranquilla,212,Carlos,64.0,Otro,Medio Ambiente,Urgente,2023-06-06,1,1,1
falta agua potable en varias casas.,Bogotá,213,Ana,18.0,F,Educación,Urgente,2023-12-24,1,0,0
la contaminación del río está aumentando.,Santa Marta,214,Jorge,60.0,M,Seguridad,No urgente,2024-02-18,1,0,0
no hay suficientes escuelas públicas.,Medellín,215,María,28.0,F,Salud,No urgente,2023-07-25,1,0,0
necesitamos más acceso a internet en la zona.,Bogotá,216,Camilo,30.0,M,Seguridad,Urgente,2023-10-10,0,0,0
las basuras no se recogen a tiempo.,Bucaramanga,217,Laura,16.0,M,Medio Ambiente,No urgente,2024-01-24,0,1,0
falta agua potable en varias casas.,Cúcuta,218,Camilo,75.0,Otro,Seguridad,No urgente,2023-01-25,0,0,1
las calles están muy oscuras y peligrosas.,Cartagena,219,María,22.0,F,Salud,No urgente,2023-08-13,0,0,1
queremos más presencia policial.,Cartagena,220,Carlos,36.0,Otro,Seguridad,Urgente,2024-06-03,1,0,1
las basuras no se recogen a tiempo.,Manizales,221,Juan,49.0,Otro,Medio Ambiente,No urgente,2024-05-16,1,1,1
no tenemos centros culturales ni bibliotecas.,Manizales,222,Valentina,43.0,M,Educación,No urgente,2023-10-29,1,1,0
la contaminación del río está aumentando.,Bogotá,223,Camilo,51.0,Otro,Medio Ambiente,No urgente,2024-07-02,1,0,0
no hay suficientes escuelas públicas.,Cali,224,María,21.0,M,Medio Ambiente,No urgente,2023-03-29,0,1,0
falta agua potable en varias casas.,Pereira,225,Ana,72.0,F,Seguridad,Urgente,2023-09-25,1,0,1
queremos más presencia policial.,Pereira,226,María,,Otro,Educación,Urgente,2024-08-03,1,0,1
no tenemos centros culturales ni bibliotecas.,Bucaramanga,227,Jorge,34.0,Otro,Salud,Urgente,2024-02-06,0,0,0
queremos más presencia policial.,Barranquilla,228,Sofía,49.0,F,Seguridad,Urgente,2023-09-26,0,1,0
,Medellín,229,Camilo,52.0,F,Medio Ambiente,Urgente,2024-11-17,0,1,1
queremos más presencia policial.,Cartagena,230,Laura,19.0,M,Educación,No urgente,2024-01-06,0,0,0
faltan médicos en el centro de salud.,Bogotá,231,Camilo,56.0,M,Educación,No urgente,2024-02-21,1,1,0
,Manizales,232,Valentina,17.0,Otro,Seguridad,No urgente,2024-11-04,0,1,1
no tenemos centros culturales ni bibliotecas.,Cúcuta,233,Valentina,61.0,Otro,Medio Ambiente,Urgente,2023-08-04,1,0,0
queremos más presencia policial.,Pereira,234,Jorge,65.0,F,Educación,No urgente,2024-04-26,0,0,0
necesitamos más acceso a internet en la zona.,Bucaramanga,235,Sofía,71.0,Otro,Seguridad,No urgente,2023-08-17,1,0,1
no tenemos centros culturales ni bibliotecas.,Bogotá,236,Ana,35.0,M,Medio Ambiente,No urgente,2023-02-15,0,0,1
necesitamos más acceso a internet en la zona.,Cartagena,237,Juan,34.0,F,Seguridad,No urgente,2023-10-23,1,0,0
la contaminación del río está aumentando.,Bogotá,238,Valentina,78.0,F,Seguridad,No urgente,2023-11-17,1,1,1
las basuras no se recogen a tiempo.,Cartagena,239,Sofía,16.0,Otro,Medio Ambiente,No urgente,2023-09-13,1,1,0
falta agua potable en varias casas.,Barranquilla,240,Sofía,,F,Salud,Urgente,2023-04-09,1,1,1
